Date,Question,Outcome,Side,Price,Size (USDC)
"2026-01-02T18:54:33.000Z","Will Al Ahli Saudi Club vs. Al Nassr Saudi Club end in a draw?","Yes","BUY","27.0¢","$5.00"
"2026-01-02T18:54:31.000Z","Will Al Ahli Saudi Club vs. Al Nassr Saudi Club end in a draw?","Yes","BUY","27.0¢","$2.33"
"2026-01-02T18:54:31.000Z","Will Al Nassr Saudi Club win on 2026-01-02?","No","BUY","81.0¢","$103.45"
"2026-01-02T18:54:29.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","Yes","BUY","47.0¢","$288.45"
"2026-01-02T18:54:29.000Z","Will Al Nassr Saudi Club win on 2026-01-02?","No","BUY","81.0¢","$75.00"
"2026-01-02T18:54:29.000Z","Will Al Ahli Saudi Club vs. Al Nassr Saudi Club end in a draw?","No","BUY","70.0¢","$4.53"
"2026-01-02T18:54:29.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","Yes","BUY","52.0¢","$157.00"
"2026-01-02T18:54:29.000Z","Will Al Ahli Saudi Club vs. Al Nassr Saudi Club end in a draw?","No","BUY","70.0¢","$4.53"
"2026-01-02T18:54:29.000Z","Will Al Nassr Saudi Club win on 2026-01-02?","No","BUY","81.0¢","$821.66"
"2026-01-02T18:54:27.000Z","Will Al Ahli Saudi Club vs. Al Nassr Saudi Club end in a draw?","Yes","BUY","27.0¢","$5.00"
"2026-01-02T18:54:27.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","Yes","BUY","47.0¢","$38.77"
"2026-01-02T18:54:27.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","Yes","BUY","47.0¢","$43.57"
"2026-01-02T18:54:25.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","Yes","BUY","51.0¢","$13.26"
"2026-01-02T18:54:25.000Z","Will Al Ahli Saudi Club vs. Al Nassr Saudi Club end in a draw?","No","BUY","70.0¢","$10.00"
"2026-01-02T18:54:19.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","Yes","BUY","48.0¢","$1.92"
"2026-01-02T18:54:19.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","Yes","BUY","51.0¢","$16.74"
"2026-01-02T18:54:17.000Z","Will Al Ahli Saudi Club vs. Al Nassr Saudi Club end in a draw?","No","BUY","70.0¢","$16.67"
"2026-01-02T18:54:17.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","Yes","BUY","48.0¢","$118.67"
"2026-01-02T18:54:11.000Z","Will Al Ahli Saudi Club vs. Al Nassr Saudi Club end in a draw?","No","BUY","70.0¢","$53.73"
"2026-01-02T18:53:41.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","45.0¢","$1.93"
"2026-01-02T18:53:39.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","45.0¢","$484.00"
"2026-01-02T18:53:33.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","45.0¢","$6.23"
"2026-01-02T18:52:11.000Z","Will Al Nassr Saudi Club win on 2026-01-02?","No","BUY","66.3¢","$183.97"
"2026-01-02T18:51:49.000Z","Al Ahli Saudi Club vs. Al Nassr Saudi Club: O/U 4.5","Under","BUY","11.0¢","$2.48"
"2026-01-02T18:51:39.000Z","Al Ahli Saudi Club vs. Al Nassr Saudi Club: O/U 4.5","Over","BUY","85.0¢","$17.60"
"2026-01-02T18:51:25.000Z","Al Ahli Saudi Club vs. Al Nassr Saudi Club: O/U 4.5","Under","BUY","11.0¢","$400.04"
"2026-01-02T18:51:25.000Z","Al Ahli Saudi Club vs. Al Nassr Saudi Club: O/U 4.5","Under","BUY","10.0¢","$400.04"
"2026-01-02T18:51:19.000Z","Will Al Nassr Saudi Club win on 2026-01-02?","No","BUY","58.0¢","$3.37"
"2026-01-02T18:50:41.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","76.0¢","$165.67"
"2026-01-02T18:50:13.000Z","Will Al Nassr Saudi Club win on 2026-01-02?","Yes","BUY","42.0¢","$8.03"
"2026-01-02T18:49:35.000Z","Will Al Nassr Saudi Club win on 2026-01-02?","No","BUY","54.0¢","$1000.11"
"2026-01-02T18:49:35.000Z","Will Al Nassr Saudi Club win on 2026-01-02?","No","BUY","53.0¢","$96.58"
"2026-01-02T18:48:45.000Z","Spread: Texas State (-17.5)","Rice","BUY","39.0¢","$1000.00"
"2026-01-02T18:48:41.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","78.0¢","$336.16"
"2026-01-02T18:48:41.000Z","Spread: Texas State (-17.5)","Rice","BUY","39.0¢","$400.04"
"2026-01-02T18:47:21.000Z","Spread: Texas State (-17.5)","Rice","BUY","31.0¢","$11.89"
"2026-01-02T18:47:19.000Z","Will Al Nassr Saudi Club win on 2026-01-02?","Yes","BUY","46.0¢","$23.33"
"2026-01-02T18:47:15.000Z","Will Al Nassr Saudi Club win on 2026-01-02?","Yes","BUY","46.0¢","$3.57"
"2026-01-02T18:47:13.000Z","Will Al Nassr Saudi Club win on 2026-01-02?","Yes","BUY","46.0¢","$3.57"
"2026-01-02T18:47:09.000Z","Spread: Texas State (-17.5)","Texas State","BUY","55.0¢","$30.00"
"2026-01-02T18:47:09.000Z","Will Al Nassr Saudi Club win on 2026-01-02?","Yes","BUY","46.0¢","$2.59"
"2026-01-02T18:44:29.000Z","Spread: Texas State (-13.5)","Texas State","BUY","67.0¢","$0.15"
"2026-01-02T18:42:47.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","76.0¢","$5.00"
"2026-01-02T18:42:39.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","Yes","BUY","21.0¢","$4.75"
"2026-01-02T18:42:37.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","76.0¢","$5.00"
"2026-01-02T18:42:37.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","76.0¢","$5.00"
"2026-01-02T18:42:35.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","76.0¢","$5.00"
"2026-01-02T18:42:33.000Z","Will Al Nassr Saudi Club win on 2026-01-02?","No","BUY","49.0¢","$541.08"
"2026-01-02T18:42:29.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","Yes","BUY","21.0¢","$5.00"
"2026-01-02T18:42:29.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","Yes","BUY","21.0¢","$4.10"
"2026-01-02T18:42:29.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","Yes","BUY","21.0¢","$1.27"
"2026-01-02T18:42:27.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","Yes","BUY","21.0¢","$4.72"
"2026-01-02T18:42:25.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","76.0¢","$5.00"
"2026-01-02T18:42:25.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","76.0¢","$5.00"
"2026-01-02T18:42:21.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","76.0¢","$17.25"
"2026-01-02T18:42:17.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","Yes","BUY","21.0¢","$5.00"
"2026-01-02T18:42:17.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","Yes","BUY","21.0¢","$4.72"
"2026-01-02T18:42:09.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","76.0¢","$10.25"
"2026-01-02T18:41:59.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","76.0¢","$4.50"
"2026-01-02T18:41:57.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","76.0¢","$5.00"
"2026-01-02T18:41:55.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","76.0¢","$4.33"
"2026-01-02T18:41:53.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","76.0¢","$5.00"
"2026-01-02T18:41:51.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","76.0¢","$4.33"
"2026-01-02T18:41:49.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","76.0¢","$4.33"
"2026-01-02T18:41:49.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","76.0¢","$5.00"
"2026-01-02T18:41:47.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","Yes","BUY","22.0¢","$5.00"
"2026-01-02T18:41:45.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","76.0¢","$4.33"
"2026-01-02T18:41:45.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","76.0¢","$5.00"
"2026-01-02T18:41:45.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","76.0¢","$5.00"
"2026-01-02T18:41:43.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","Yes","BUY","22.0¢","$19.97"
"2026-01-02T18:41:43.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","76.0¢","$5.00"
"2026-01-02T18:41:41.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","76.0¢","$5.00"
"2026-01-02T18:41:41.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","76.0¢","$5.00"
"2026-01-02T18:41:41.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","76.0¢","$5.00"
"2026-01-02T18:41:39.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","76.0¢","$5.00"
"2026-01-02T18:41:39.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","76.0¢","$5.00"
"2026-01-02T18:41:39.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","Yes","BUY","22.0¢","$11.90"
"2026-01-02T18:41:37.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","Yes","BUY","22.0¢","$4.78"
"2026-01-02T18:41:37.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","Yes","BUY","22.0¢","$2.99"
"2026-01-02T18:41:37.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","76.0¢","$150.00"
"2026-01-02T18:41:35.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","Yes","BUY","22.0¢","$1.77"
"2026-01-02T18:41:35.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","Yes","BUY","22.0¢","$5.00"
"2026-01-02T18:41:33.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","Yes","BUY","22.0¢","$5.00"
"2026-01-02T18:41:33.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","Yes","BUY","22.0¢","$5.00"
"2026-01-02T18:41:33.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","Yes","BUY","22.0¢","$4.78"
"2026-01-02T18:41:31.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","Yes","BUY","22.0¢","$4.78"
"2026-01-02T18:41:31.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","Yes","BUY","22.0¢","$5.00"
"2026-01-02T18:41:27.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","76.0¢","$20.83"
"2026-01-02T18:41:25.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","76.0¢","$12.42"
"2026-01-02T18:41:25.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","76.0¢","$5.00"
"2026-01-02T18:41:23.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","76.0¢","$5.00"
"2026-01-02T18:41:21.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","76.0¢","$5.00"
"2026-01-02T18:41:17.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","Yes","BUY","21.0¢","$4.33"
"2026-01-02T18:41:15.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","Yes","BUY","21.0¢","$4.10"
"2026-01-02T18:41:13.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","Yes","BUY","21.0¢","$15.00"
"2026-01-02T18:41:05.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","76.0¢","$4.58"
"2026-01-02T18:41:05.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","76.0¢","$4.33"
"2026-01-02T18:41:05.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","76.0¢","$4.58"
"2026-01-02T18:41:01.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","76.0¢","$5.00"
"2026-01-02T18:40:57.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","Yes","BUY","22.0¢","$1.81"
"2026-01-02T18:40:55.000Z","Al Ahli Saudi Club vs. Al Nassr Saudi Club: O/U 4.5","Under","BUY","10.0¢","$11.00"
"2026-01-02T18:40:53.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","Yes","BUY","22.0¢","$1.41"
"2026-01-02T18:40:53.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","Yes","BUY","22.0¢","$5.00"
"2026-01-02T18:40:45.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","76.0¢","$345.20"
"2026-01-02T18:33:51.000Z","Spread: Texas State (-13.5)","Texas State","BUY","48.0¢","$25.75"
"2026-01-02T18:33:45.000Z","Rice vs. Texas State","Rice","BUY","15.0¢","$688.00"
"2026-01-02T18:33:43.000Z","Will Al Nassr Saudi Club win on 2026-01-02?","Yes","BUY","46.0¢","$786.24"
"2026-01-02T18:33:05.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","Yes","BUY","21.0¢","$50.00"
"2026-01-02T18:32:09.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","Yes","BUY","21.0¢","$17.75"
"2026-01-02T18:31:55.000Z","Al Ahli Saudi Club vs. Al Nassr Saudi Club: O/U 4.5","Under","BUY","10.0¢","$5.00"
"2026-01-02T18:30:57.000Z","Rice vs. Texas State","Rice","BUY","14.0¢","$100.00"
"2026-01-02T18:30:53.000Z","Rice vs. Texas State","Rice","BUY","14.0¢","$145.00"
"2026-01-02T18:30:49.000Z","Rice vs. Texas State","Rice","BUY","14.0¢","$527.00"
"2026-01-02T18:30:45.000Z","Rice vs. Texas State","Rice","BUY","14.0¢","$527.00"
"2026-01-02T18:30:41.000Z","Rice vs. Texas State","Rice","BUY","14.0¢","$527.00"
"2026-01-02T18:30:37.000Z","Rice vs. Texas State","Rice","BUY","14.0¢","$1527.00"
"2026-01-02T18:28:47.000Z","Spread: Texas State (-17.5)","Rice","BUY","55.0¢","$3.83"
"2026-01-02T18:26:01.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","78.0¢","$173.92"
"2026-01-02T18:25:59.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","78.0¢","$700.00"
"2026-01-02T18:25:49.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","78.0¢","$61.00"
"2026-01-02T18:25:39.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","78.0¢","$4.55"
"2026-01-02T18:25:33.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","78.0¢","$60.64"
"2026-01-02T18:25:23.000Z","Will Al Ahli Saudi Club vs. Al Nassr Saudi Club end in a draw?","Yes","BUY","30.0¢","$9.61"
"2026-01-02T18:24:39.000Z","Will Al Nassr Saudi Club win on 2026-01-02?","No","BUY","51.0¢","$10.00"
"2026-01-02T18:23:59.000Z","Will Al Nassr Saudi Club win on 2026-01-02?","No","BUY","51.0¢","$867.00"
